code,name
/ACCGO/ACC,Centro de trabajo de periodificación
/ACCGO/ACR,Reglas de aplicación: Registros de condición
/ACCGO/AD,Documento de aplicación
/ACCGO/ADM,AutorAdmin
/ACCGO/APL,Aplicación
/ACCGO/APQ,Objeto de autorización para reejecutar cola de aplicación
/ACCGO/APS,Archivo de aplicación
/ACCGO/AS,Pool de secuencia de auditoría
/ACCGO/ASG,Asignación de planificación de valor a ubicación TSW
/ACCGO/ASQ,Reglas de aplicación: Datos de secuencia de acceso
/ACCGO/BBB,Objeto de autorización para el saldo contable inicial
/ACCGO/BPA,Autorización interlocutor comercial ACM
/ACCGO/BRT,Brazil True-Up
/ACCGO/BSC,Objeto autorización p.informe de corrección partición lote
/ACCGO/CAP,Autorización de aprobación de contrato
/ACCGO/CCL,Objeto de autorización p.cierre de contrato y reapertura
/ACCGO/CDS,ACM Visualización de datos CDS
/ACCGO/CLM,Límite de crédito BRF
/ACCGO/CMG,Stocks mixtos
/ACCGO/COM,Actualizar objeto de autorización informe productos básicos
/ACCGO/COP,Procesamiento de salida de contrato
/ACCGO/CPE,Integr.engine p.determinación de precio de productos básicos
/ACCGO/CRD,Límite de crédito
/ACCGO/CSN,Objetos de autorización para datos maestros de importe
/ACCGO/CSR,Objeto de autorización para proceso de rechazo
/ACCGO/DDA,Asignación PCPD IGD
/ACCGO/DFW,Autorización de flujo de documentos
/ACCGO/DGP,Procesamiento DGR
/ACCGO/DGR,Registro maestro PDD
/ACCGO/DIS,Distribuciones de determinación de precio online
/ACCGO/DR,Informes de previsión de demandas en declive
/ACCGO/DSB,Botón Mostrar/Ocultar estado modificación e Iniciar salida
/ACCGO/FEE,Maestro de cuotas
/ACCGO/GDC,Características derivadas globales
/ACCGO/GMR,Liberar mensajes reg.previamente de mov.mercancías
/ACCGO/INV,Monitor de inventario
/ACCGO/IR,Router de factura
/ACCGO/LIN,Derecho prendario
/ACCGO/MG,Agrupación de material
/ACCGO/NEG,Puesto de trabajo de aplicación manual - Clave de nodo
/ACCGO/NET,Objeto de autorización para actividades Net Dry.
/ACCGO/NEY,Puesto de trabajo de aplicación manual - Campos comunes
/ACCGO/NSO,Resumen de liquidación no estándar
/ACCGO/NSS,Liquidación no estándar
/ACCGO/OE,Framework de orquestación y bilateral
/ACCGO/ORG,Objeto de autorización para acceso a datos organizativos
/ACCGO/OVF,Entrega en exceso manual
/ACCGO/P2S,Compra para almacenamiento
/ACCGO/PDP,Objeto de autorización para centro DPQS
/ACCGO/PM,Objetos de autorización para verificación externa
/ACCGO/PP,Objeto de autorización para protección de precio
/ACCGO/RCL,Operaciones aritméticas en tipos de datos raw
/ACCGO/RCP,Autorización de ejecución de informe de reconciliación
/ACCGO/REC,Objeto de autorización de reconciliación
/ACCGO/RRP,Realización de ingresos y realización de compra
/ACCGO/SAQ,Liquidación de contrato
/ACCGO/SC,Autorización de cadena/círculo para liquidación estándar
/ACCGO/SCR,Objeto de autorización para informe de actualización stock
/ACCGO/SI,Centro de trabajo factura separada
/ACCGO/SPM,Monitor puntual aplicación contrato
/ACCGO/SPT,Contrato puntual
/ACCGO/STL,Liquidación de contrato
/ACCGO/STO,Objeto de autorización p.liquidación de acuerdo de almacen.
/ACCGO/TOL,Planificación de tolerancia
/ACCGO/TRU,Informe de ajuste
/ACCGO/UI,Acceso a nodo de IU común
/ACCGO/UIC,Configurar obtención de datos de carga
/ACCGO/UIS,Obtención de datos de carga
/ACCGO/UTL,ACM: Autorización programas de servicio
/ACCGO/VAL,Planificación de valores
/ACCGO/VOL,Planificación del volumen
/AIF/CDLOG,Log de modificación de tratamiento errores AIF
/AIF/CFUNC,Funciones personalizadas AIF
/AIF/CLINK,Vínculo de datos personalizado AIF
/AIF/CONT,Entrega de contenido AIF
/AIF/CPI,Integración de la propagación de errores AIF
/AIF/CTEXT,Texto de mensaje personalizado AIF
/AIF/CUST,Customizing AIF
/AIF/DEL,Borrado de mensaje AIF
/AIF/DPA,Asignación de detalles y procesadores AIF
/AIF/EMC,Corrección de emergencia de tratamiento de errores AIF
/AIF/ERR,Verificación depend.interfase de tratamiento de errores AIF
/AIF/EXT_C,Contacto externo AIF
/AIF/FRUN,Supervisión remota AIF
/AIF/HINTS,Notas personalizadas AIF
/AIF/IFDET,Determinación de interfase AIF
/AIF/IFTES,Acceso a la herramienta de prueba AIF
/AIF/LFA,Acceso a servidor de aplicación de adaptador de fichero AIF
/AIF/PERSD,Borrado de mensaje AIF
/AIF/PROC,Tratamiento interfase AIF
/AIF/RAL,Log de acceso de lectura AIF
/AIF/RAL_C,Customizing de logs de acceso lectura AIF
/AIF/RT_MO,Objeto de autorización p.supervisión tiempo ejec.RFC fondo
/AIF/SER,Serialización AIF: Índice de objetos
/AIF/TECH,Modo técnico de tratamiento de errores AIF
/AIF/TRANS,Objeto de autorización para importar datos a AIF
/AIF/VMAP,Asignación de valores AIF
/ATL/CASH,IL Localization Cashie : Authorization for certain location
/ATL/CASHI,IL Localization - Cash ID for Cashier
/ATL/ENTTY,IL Localization - Entity in Foreclosures
/ATL/FILEN,IL Localization - File number in Form 6111
/ATL/FOREC,IL Localization - Foreclosures
/ATL/INDEX,IL Localization - Index
/BOFU/BO,Autorizaciones genéricas p.business object (BOPF)
/BSNAGT/AP,API de conector MBC
/BSNAGT/CR,Creación de mensajes MBC
/BSNAGT/FM,Monitor de conector MBC
/BSNAGT/PI,Recogida de archivo/mensaje
/BSNAGT/PL,Acceder a payload de mensaje
/BSNAGT/PU,Tomar mensajes
/BSNAGT/RP,Reiniciar/reprocesar pasos ya procesados
/BSNAGT/SA,Enviar mensaje de nuevo
/BSNAGT/SE,Acceder a datos sensibles
/BSNAGT/SN,Enviar mensaje a MBC
/BSNAGT/ST,Actualizar estado del mensaje
/BUILD/C,Build Framework Build
/CCEE/EPOB,Report ePoboti /CCEE/SIFI_RFSITEM
/CCEE/HR_B,Authorization Object For Croatia Web Service(Business space)
/CCEE/HR_I,Authorization Object For Croatia Web Service(Fiscalization)
/CDBASIS/C,Acceso a Customizing genearl
/CEECV/IST,Intrastat Reporting for Baltic Countries
/CEECV/RO1,Analytical balance
/CEECV/ROT,Auth. for FI-SL BT
/CEERE/KD,Authorization for maintenance of prop.tax object master data
/CPD/ANLY,Objeto de autorización para funciones analíticas
/CPD/FPH,Objeto de autorización para cabecera de plan presupuestario
/CPD/MC,Objeto de autorización para lista de verificaciones de hitos
/CPD/MP,Objeto de autorización para área de trabajo
/CPD/OAUTH,Objeto de autorización para sustituir controles de acceso
/CUM/CPEDT,Objeto de autorización para TA /CUM/DESIGN
/CUM/EFEDT,Objeto de autorización para TA /CUM/DESIGN
/CWM/C_ACT,Activar Catch Weight Management en el mandante
/CWM/L_INV,Traslado automático de US en inventario WM en entor.un.man.
/DSD/SL_TP,Cockpit y EDR: Autorización para planificador de transporte
/DSD/SL_WR,Cockpit y EDR: Autorización para centro
/DSD/SV_LC,DSD: Confirmación de carga
/DSD/TOUR,Direct Store Delivery: Status de ruta
/DSD/VC_VL,Control de visitas: Listas de visitas
/DSD/VC_VP,Control de visitas: Planes de visitas
/ECRS/DVI,#¿NOMBRE?
/ECRS/POI,**Obsoleto**Actualizar proveedores de información
/ECRS/POIA,Proveedor de información
/ECRS/POIB,Proveedor de información para socio comercial
/ECRS/RP,**Obsoleto**Tratar declaraciones Intrastat
/ECRS/RPHB,Declaración Intrastat para socio comercial
/ECRS/RPHD,Declaración Intrastat
/ECRS/SP,Programa de selección para reporting Intrastat
/ECRS/WL,Tratar pool de trabajo
/FSCAA/CSL,FS-CAA Objeto de autorización
/FTI/START,Starting Framework
/FTI/UISWC,/FTI/UISWC
/GC1/AUTH,Autorización recolector basura
/GSINS/BPA,Business Partner Additional Details
/GSINS/BR1,Brasilian Country Specific Authorizations
/GSINS/NL1,GBM Messages Handling Authorization Object
/GSINS/OLR,Open Loss Reserves: Authorization Object (Display Create.)
/GSINS/PE1,GS INS sist.pensiones: Objeto autorización p.comun.nómina
/GSINS/PE2,GS INS sistema de pensiones: Objeto de autorización
/GSINS/TR1,Tramer Authorization Object
/IAM/AAUTH,Objeto de autorización para medida/actividad
/IAM/ATTMT,Obj.autoriz.p.anexos p.problema/medida/sol.modif./actividad
/IAM/CODGR,Obj.autorización para selección código grupos/códigos
/IAM/IAUTH,Obj.autorización p.problema/solicitud de modificación
/IAM/OREF,Obj.autoriz.p.obj.referencia p.problema.sol.modif. med.act.
/IAM/REMIN,Objeto de autorización para recordatorios
/IAM/SUBSC,Objeto de autorización para suscripciones
/IAM/TXTTY,Objeto de autorización para descripciones
/IBX/AUDIT,IPX: Authorization for Blocked Data
/IBX/EDIT,IBX: Dialog & Batch
/IBX/PROC,Processing Using Reporting Object Category
/IBX/RAPID,Deletion of Data Using RAPI
/ILE/COCO,Company code for Annexing package
/ILE/PORG,Perchasing organization for annexing package
/ILE/SORG,Salse organization for annexing package
/INCMD/AUT,Objeto de autorización para aplicación intercambiabilidad
/IPRO/CONF,Verificación de confidencialidad del Document Builder
/IPRO/DCSL,Autorizaciones de SAP Document Builder
/IWBEP/ADM,SAP Gateway: Administration authority check
/IWBEP/DST,Obsolete!! : SAP Gateway: Design Time Activities
/IWBEP/MED,(Obsolete!) Authorization Object for Meta Data Access
/IWBEP/MGW,(Obsolete!) SAP Gateway Remote Authorization
/IWBEP/SB,Authorization for the SAP Gateway Service Builder
/IWBEP/SUB,Authorization object for On-behalf Subscriptions
/IWBEP/UMB,SAP Gateway - B2C User Management
/IWBEP/URB,SAP Gateway - User Self Service Management
/IWFND/ADM,SAP Gateway: Administration authority check
/IWFND/DST,SAP Gateway: Design Time Activities
/IWFND/SRV,SAP Gateway: Authorization for SData Service
/IWFND/SUB,Authorization Object for Admin Pull Notifications
/IWHDB/HAI,SAP Gateway:  HANA Analytics Integration
/IWXBE/ADM,Enterprise Event Enablement Administration
/IWXBE/SUP,Enterprise Event Enablement Support
/IWXBE/USR,Enterprise Event Enablement Topic Maintenance
/J7L/LDE,REA Lean Data Entry
/LSIERP/WI,Authorization for work-list
/LSIERP/WL,Authorization object for work-list
/MERP/SAM,Aplicación SAP Asset Manager
/MVA/6VBM,Authorizations Bonus-Malus
/MVA/6VBMM,Authorizations Bonus-Malus Premium and Rating Models
/MVA/6VCE,Create Central Telephone Number Delivery
/MVA/6VIAA,Authorizations for IC Management (AT)
/MVA/6VICA,Authorizations Insurer Information System (AT)
/MVA/6VICD,Authorizations Insurer Information System (DE)
/MVA/6VML,Export Malus File
/MVA/6VRSA,Registration Authorizations (AT)
/MVA/6VRSD,Authorizations for Registration (Germany)
/MVA/6VVCH,Authorizations for Vehicle Change
/MVA/6V_ET,Authorizations EuroTax
/MVA/6V_IC,Obsolete: IIS Superuser
/MVA/6V_SF,OBSOLETE: Special Handling of the Status Field in the Reg.
/MVA/6V_TR,Authorizations Type/Region
/NFM/BOESL,Clave de intercambio NF
/NFM/CO,Asignación sociedad CO a NF a origen clave metal NF
/NFM/COND,Generar registros de condiciones NF
/NFM/COVER,Coberturas NF
/NFM/KBB,Material facilitado de clases movimiento NF de
/NFM/NES,Clave NF divergente de NF
/NFM/NFDEF,Valores por defecto NF
/NFM/NFM,Módulos de determinación de tasa NF
/NFM/NFNEB,Transacción en masa de valores de propuesta NF
/NFM/NFR,Rutinas de determinación de la tasa NF
/NFM/NFS,Clave de determinación de la tasa NF
/NFM/NKTYP,Clase de condición NF: Tipo de condición/clave NF
/NFM/NRRNG,Actualización del rango de números NF
/NFM/PROV,Provisiones NF
/NFM/RATE,Tasas NF
/NFM/REPOR,Informes NF
/PF1/ALOGS,Objeto de autorización para los logs de aplicación
/PF1/AMCP,Objeto de autorización para los informes de Poller común
/PF1/CA,Objeto de autorización: acuerdo de compensación
/PF1/CHART,Objeto de autorización para gráficos de estado
/PF1/CHGDC,Objeto de autorización para autorización documento de cambio
/PF1/COCCL,Objeto de autorización: asignación partida pago a colector
/PF1/COLL,Objeto de autorización: colectores
/PF1/CP,Objeto verificación de autorización para Poller comunicación
/PF1/CPCUS,Maestro de copia y datos de Customizing
/PF1/EHRSI,Objeto autorización p.conjunto reglas EH.p.posición
/PF1/EHRSO,Objeto autorización para conjunto de reglas EH para objetos
/PF1/EHSOL,Tratamiento de excepciones - solución automática
/PF1/EH_PP,Control de posprocesamiento
/PF1/EMB1,Embargo/crisis de país
/PF1/EMB2,Embargo/crisis de banco
/PF1/EMB3,Embargo/crisis de moneda
/PF1/EOD,Procesamiento de fin de día
/PF1/MSG,Objeto de autorización para mensajes no financieros
/PF1/OL,Objeto de autorización para la lista de objetos
/PF1/PI,Objeto de autorización: partida de pago.
/PF1/PI_TL,Objeto de autorización: modelo de posición de pago
/PF1/PO,Objeto de autorización: orden de pago
/PF1/POLLR,Objeto de autorización: informe de Poller
/PF1/PO_TL,Objeto de autorización: modelo de orden de pago
/PF1/PPF,Objeto de autorización: procesamiento paralelo
/PF1/QUCCT,Verificar horas de compensación para colector de colas
/PF1/QUEUE,Objeto de autorización: colector de colas
/PF1/RAG,Objeto de autorización: agentes de solicitud
/PF1/RD,Objeto de autorización para carga/modific.datos referencia
/PF1/RECA2,Objeto de autorización: Rellamada V2
/PF1/REP_P,Objeto de autorización para respuesta asincrónica de Poller
/PF1/SLA,Objeto de autorización para Acuerdo sobre nivel de servicio
/PF1/UPLOA,Objeto de autorización: cargar órdenes
/PF1/VAHLP,Objeto de autorización: ayuda de valor de UI5
/PF1/VARSR,Objeto autorización: reglas para búsqueda de acuerdo valor
/PM0/ABACT,FS-PM: acción
/PM0/ABBTX,FS-PM: Operación comercial
/PM0/ABCHA,FS-PM: Importes
/PM0/ABCHR,FS-PM: Operación de sustitución
/PM0/ABCHZ,FS-PM: Códigos postales
/PM0/ABCOR,FS-PM: correspondencia - documentos
/PM0/ABCRE,FS-PM: correspondencia - ejemplares
/PM0/ABEXA,FS-PM: Solicitudes externas
/PM0/ABFPM,FS-PM: Verificación de aplicaciones de Floor Plan Manager
/PM0/ABPST,FS-PM: delimitación de balance
/PM0/ALASM,FS-PM: tasación SPVF Prestación B
/PM0/ALCHR,FS-PM: Tasas
/PM0/ALFND,FS-PM: Gestión de fondos
/PM0/ALFSV,FS-PM: Servicio financiero
/PM0/APLF,Autorizaciones para Automatic Premium Loan Financing (APLF)
/PM0/APMPG,FS-PM: Productos de venta
/PM0/ATADS,Check Tool: Authorization for Data Source
/PM0/ATANA,Check Tool: Authorization for Check Variant
/PM0/COMP,FS-PM: Asignación de sociedad
/PM0/DUCON,FS-PM: grupo de autorización doble verificación
/PM0/FPP,FS-PM: Actividades relacionadas con FPP
/PM0/IBCT,FS-PM: Plantilla del configurador de cartera
/PM0/MIG,FS-PM: Migración
/PM0/RNS,FS-PM: Actualización de jerarquía redefinición de clientes
/PM0/RWP,FS-PM: Centro de trabajo
/PMG/MPO,Objeto autorización para proceso empresarial contrato marco
/PRA/ALVBT,Enable or Disable ALV Toolbar Buttons
/PRA/BPMST,Business Partner Authorization
/PRA/OMMFM,Marketing Free Maintenance
/PRA/OWN,Owner Field Level Authorization
/PRA/PN,PPN Management Authorization
/PRA/RADM,Accounting Document
/PRA/RADRL,Revenue Accounting Document Report
/PSPRO/_US,Sobreescribir verificación del status de usuario
/S4PPM/PDM,Necesidad de proyecto
/S4PPM/PRR,Objeto de autorización para lista de ranking de proyectos
/SAPCE/IU0,Benefits
/SAPCE/IU1,Authorization object for the Benefit Mass Change Report
